,name,type,episodes,members,score_members,rating,genre,dates,url
29,Mushishi Zoku Shou 2nd Season,TV,10.0,169558.0,67408.0,8.79,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",        Oct 2014 - Dec 2014,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
30,Kimetsu no YaibaDemon Slayer: Kimetsu no Yaiba,TV,26.0,822839.0,481484.0,8.78,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",        Apr 2019 - Sep 2019,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
31,Monogatari Series: Second Season,TV,26.0,427222.0,225192.0,8.78,"['Mystery', 'Comedy', 'Supernatural', 'Romance', 'Vampire']",        Jul 2013 - Dec 2013,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
32,Hajime no IppoFighting Spirit,TV,75.0,328406.0,159652.0,8.77,"['Comedy', 'Sports', 'Drama', 'Shounen']",        Oct 2000 - Mar 2002,https://myanimelist.net/anime/263/Hajime_no_Ippo
33,Vinland Saga,TV,24.0,414707.0,183617.0,8.76,"['Action', 'Adventure', 'Drama', 'Historical', 'Seinen']",        Jul 2019 - Dec 2019,https://myanimelist.net/anime/37521/Vinland_Saga
34,Mononoke HimePrincess Mononoke,Movie,1.0,727307.0,465279.0,8.75,"['Action', 'Adventure', 'Fantasy']",        Jul 1997 - Jul 1997,https://myanimelist.net/anime/164/Mononoke_Hime
35,Code Geass: Hangyaku no LelouchCode Geass: Lelouch of the Rebellion,TV,25.0,1320108.0,824022.0,8.74,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School']",        Oct 2006 - Jul 2007,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
36,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1.0,137264.0,4649.0,8.74,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",        Jan 2020 - Jan 2020,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
37,Mushishi Zoku ShouMUSHI-SHI -Next Passage-,TV,10.0,197532.0,79584.0,8.74,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",        Apr 2014 - Jun 2014,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
38,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-henSamurai X: Trust and Betrayal,OVA,4.0,209643.0,106964.0,8.74,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",        Feb 1999 - Sep 1999,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
39,Monster,TV,74.0,503079.0,165417.0,8.72,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",        Apr 2004 - Sep 2005,https://myanimelist.net/anime/19/Monster
40,Great Teacher Onizuka,TV,43.0,498815.0,246197.0,8.71,"['Slice of Life', 'Comedy', 'Drama', 'School', 'Shounen']",        Jun 1999 - Sep 2000,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
41,MushishiMushi-Shi,TV,26.0,540757.0,184099.0,8.71,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",        Oct 2005 - Jun 2006,https://myanimelist.net/anime/457/Mushishi
42,Hajime no Ippo: New ChallengerFighting Spirit: New Challenger,TV,26.0,173757.0,103328.0,8.69,"['Comedy', 'Sports', 'Drama', 'Shounen']",        Jan 2009 - Jul 2009,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
43,Natsume Yuujinchou ShiNatsume's Book of Friends Season 4,TV,13.0,170353.0,77112.0,8.69,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",        Jan 2012 - Mar 2012,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
44,Ookami Kodomo no Ame to YukiWolf Children,Movie,1.0,514889.0,292649.0,8.69,"['Fantasy', 'Slice of Life']",        Jul 2012 - Jul 2012,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
45,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo MinaiRascal Does Not Dream of a Dreaming Girl,Movie,1.0,182889.0,88704.0,8.69,"['Comedy', 'Romance', 'School']",        Jun 2019 - Jun 2019,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
46,Tengen Toppa Gurren LagannGurren Lagann,TV,27.0,1046088.0,582762.0,8.69,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",        Apr 2007 - Sep 2007,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
47,Howl no Ugoku ShiroHowl's Moving Castle,Movie,1.0,684722.0,464618.0,8.68,"['Adventure', 'Drama', 'Fantasy', 'Romance']",        Nov 2004 - Nov 2004,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
48,Natsume Yuujinchou RokuNatsume's Book of Friends Season 6,TV,11.0,112688.0,39898.0,8.68,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",        Apr 2017 - Jun 2017,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
49,Suzumiya Haruhi no ShoushitsuThe Disappearance of Haruhi Suzumiya,Movie,1.0,424876.0,223890.0,8.68,"['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",        Feb 2010 - Feb 2010,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
