,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
11,Shin Seikimatsu: Yatsuto no Souguu,Encounters with that Kind,ONA,5.0,191.0,,,"['Comedy', 'Sci-Fi']",        May 2013 - Jun 2013,https://myanimelist.net/anime/22657/Shin_Seikimatsu__Yatsuto_no_Souguu
12,Shin Shounan Bakusouzoku Arakure Knight,,OVA,2.0,305.0,,,['Adventure'],        Sep 1997 - Sep 1998,https://myanimelist.net/anime/16510/Shin_Shounan_Bakusouzoku_Arakure_Knight
13,Shin Skyers 5,,TV,25.0,240.0,,,"['Action', 'Sci-Fi']",        Oct 1971 - Mar 1972,https://myanimelist.net/anime/22997/Shin_Skyers_5
14,Shin Skyers 5 EX,,Special,12.0,71.0,,,"['Action', 'Sci-Fi']",        May 2015 - May 2015,https://myanimelist.net/anime/34673/Shin_Skyers_5_EX
15,Shin Takarajima,,Special,1.0,281.0,,,"['Adventure', 'Kids']",        Jan 1965 - Jan 1965,https://myanimelist.net/anime/15823/Shin_Takarajima
16,Shin-chan ga Naita!,,OVA,1.0,138.0,,,"['Drama', 'Kids']",        1989 - 1989,https://myanimelist.net/anime/26223/Shin-chan_ga_Naita
17,Shin-chan no Sanrinsha,Shin's Tricycle,OVA,1.0,165.0,,,"['Historical', 'Kids']",         - ,https://myanimelist.net/anime/26157/Shin-chan_no_Sanrinsha
18,Shining Star,,TV,52.0,176.0,,,"['Kids', 'Music']",        Oct 2017 - Dec 2018,https://myanimelist.net/anime/39918/Shining_Star
19,Shinjuku Shin-chan Patrol: Warui Otona ni Ki wo Tsukete,,ONA,1.0,261.0,,,['Kids'],        Aug 2008 - Aug 2008,https://myanimelist.net/anime/5193/Shinjuku_Shin-chan_Patrol__Warui_Otona_ni_Ki_wo_Tsukete
20,Shinjuku Shin-chan: Yoiko no Koutsuu Anzen,,ONA,1.0,202.0,,,['Kids'],        Aug 2009 - Aug 2009,https://myanimelist.net/anime/14069/Shinjuku_Shin-chan__Yoiko_no_Koutsuu_Anzen
21,Shinkai Densetsu Meremanoid,,TV,24.0,464.0,,,"['Adventure', 'Fantasy']",        Oct 1997 - Apr 1998,https://myanimelist.net/anime/15579/Shinkai_Densetsu_Meremanoid
22,Shinkaigyo no March,,Music,1.0,96.0,,,"['Music', 'Kids']",        Dec 2018 - Dec 2018,https://myanimelist.net/anime/39245/Shinkaigyo_no_March
23,Shinkansen Henkei Robo Shinkalion,Shinkalion,ONA,11.0,395.0,,,"['Kids', 'Mecha']",        Mar 2015 - May 2017,https://myanimelist.net/anime/34985/Shinkansen_Henkei_Robo_Shinkalion
24,Shinkansen Henkei Robo Shinkalion The Animation Recap,Bullet Train Transforming Robot Shinkalion The Animation Recap,ONA,1.0,192.0,,,"['Action', 'Sci-Fi', 'Kids', 'Mecha']",        Aug 2018 - Aug 2018,https://myanimelist.net/anime/38114/Shinkansen_Henkei_Robo_Shinkalion_The_Animation_Recap
25,Shinkansen Henkei Robo Shinkalion: Mirai kara Kita Shinsoku no ALFA-X,,Movie,1.0,572.0,,,"['Action', 'Sci-Fi', 'Kids', 'Mecha']",        Dec 2019 - Dec 2019,https://myanimelist.net/anime/39967/Shinkansen_Henkei_Robo_Shinkalion__Mirai_kara_Kita_Shinsoku_no_ALFA-X
26,Shinken Densetsu: Tight Road,,TV,13.0,333.0,,,"['Action', 'Martial Arts']",        Oct 1994 - Dec 1994,https://myanimelist.net/anime/22313/Shinken_Densetsu__Tight_Road
27,Shinken Seminar Koukou Kouza,,OVA,1.0,294.0,,,"['School', 'Shounen']",        Apr 2012 - Apr 2012,https://myanimelist.net/anime/26159/Shinken_Seminar_Koukou_Kouza
28,Shinmai,,Special,4.0,112.0,,,"['Slice of Life', 'Comedy']",        Apr 2008 - Apr 2008,https://myanimelist.net/anime/34697/Shinmai
29,Shinmai 'FUREAI' Net. Concept Movie,,ONA,1.0,159.0,,,['Slice of Life'],        Dec 2015 - Dec 2015,https://myanimelist.net/anime/35976/Shinmai_FUREAI_Net_Concept_Movie
30,Shinrabanshou.mp3,,Special,1.0,142.0,,,"['Dementia', 'Music']",        Feb 2018 - Feb 2018,https://myanimelist.net/anime/40158/Shinrabanshoump3
31,Shinrabanshou: Tenchi Shinmei no Shou,,ONA,1.0,588.0,,,"['Action', 'Fantasy', 'Shounen']",        Jun 2014 - Jun 2014,https://myanimelist.net/anime/24719/Shinrabanshou__Tenchi_Shinmei_no_Shou
32,Shinran Shounin to Ousha-jou no Higeki,,OVA,1.0,123.0,,,"['Drama', 'Historical']",        Sep 1996 - Sep 1996,https://myanimelist.net/anime/34926/Shinran_Shounin_to_Ousha-jou_no_Higeki
33,"Shinran-sama: Negai, Soshite Hikari",,OVA,1.0,260.0,,,['Historical'],        Mar 2008 - Mar 2008,https://myanimelist.net/anime/5693/Shinran-sama__Negai_Soshite_Hikari
34,Shinsengumi,Astro Boy: Shinsen-gumi,Movie,1.0,193.0,,,['Historical'],        Jul 1999 - Jul 1999,https://myanimelist.net/anime/39360/Shinsengumi
35,Shinshuu Sudama-hen,,OVA,4.0,518.0,,,"['Action', 'Martial Arts', 'Samurai', 'Historical', 'Seinen']",        Oct 1988 - May 1989,https://myanimelist.net/anime/7052/Shinshuu_Sudama-hen
36,Shinya Doubutsuen,,Movie,1.0,96.0,,,[],        2008 - 2008,https://myanimelist.net/anime/31508/Shinya_Doubutsuen
37,Shinya! Tensai Bakabon Specials,,Special,12.0,250.0,,,"['Slice of Life', 'Comedy']",        Sep 2018 - Nov 2018,https://myanimelist.net/anime/38001/Shinya_Tensai_Bakabon_Specials
38,Shiodome Cable TV,,TV,22.0,233.0,,,['Comedy'],        Apr 2011 - Sep 2011,https://myanimelist.net/anime/10633/Shiodome_Cable_TV
39,Shiohi Girls: Vongole Bianco,,ONA,48.0,101.0,,,['Romance'],        Nov 2019 - Apr 2020,https://myanimelist.net/anime/40707/Shiohi_Girls__Vongole_Bianco
40,Shiokari Touge,Shiokari Pass,OVA,1.0,122.0,,,"['Kids', 'Drama']",        2000 - 2000,https://myanimelist.net/anime/26263/Shiokari_Touge
41,Shippai Ippai mo Ikkai,,OVA,1.0,74.0,,,['Kids'],        2003 - 2003,https://myanimelist.net/anime/36322/Shippai_Ippai_mo_Ikkai
42,Shippo no Kimochi,,Music,1.0,140.0,,,"['Music', 'Kids', 'Romance']",        Aug 1986 - Aug 1986,https://myanimelist.net/anime/37197/Shippo_no_Kimochi
43,Shippuu! Iron Leaguer: Silver no Hata no Moto ni,,OVA,5.0,297.0,,,"['Mecha', 'Sports']",        Nov 1994 - Apr 1995,https://myanimelist.net/anime/13449/Shippuu_Iron_Leaguer__Silver_no_Hata_no_Moto_ni
44,Shirahata no Shoujo Ryuuko,,Movie,1.0,257.0,,,['Drama'],        Jul 1988 - Jul 1988,https://myanimelist.net/anime/9546/Shirahata_no_Shoujo_Ryuuko
45,Shiranpuri,,OVA,1.0,278.0,,,"['Drama', 'School']",        1999 - 1999,https://myanimelist.net/anime/30939/Shiranpuri
46,Shiratori Reiko de Gozaimasu!,I am THE Shiratori Reiko!,OVA,1.0,325.0,,,"['Comedy', 'Romance']",        Apr 1990 - Apr 1990,https://myanimelist.net/anime/2712/Shiratori_Reiko_de_Gozaimasu
47,Shiritori Mambo,,Music,1.0,119.0,,,"['Music', 'Kids']",        Dec 2012 - Dec 2012,https://myanimelist.net/anime/30208/Shiritori_Mambo
48,Shiritori Oukoku,,TV,3.0,138.0,,,['Kids'],        Feb 2008 - Nov 2008,https://myanimelist.net/anime/29401/Shiritori_Oukoku
49,Shiritsu Liyon Gakuen,,ONA,17.0,180.0,,,"['Comedy', 'School']",        Jun 2016 - 2018,https://myanimelist.net/anime/33415/Shiritsu_Liyon_Gakuen
